Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CMS,CMS Energy Corporation Common Stock,$69.31,0.08,0.116%,20704937348.00,United States,,1714019,Utilities,Power Generation
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,$25.42,0.11,0.435%,7593702314.00,United States,2018,12466,Utilities,Power Generation
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,$25.225,-0.015,-0.059%,7535450074.00,United States,2018,25466,Utilities,Power Generation
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,$25.19,0.06,0.239%,7524994543.00,United States,2019,30781,Utilities,Power Generation
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$27.59,-0.36,-1.288%,17711868978.00,United States,,6768482,Utilities,Electric Utilities: Central
CPK,Chesapeake Utilities Corporation Common Stock,$120.57,1.31,1.098%,2706787940.00,United States,,108111,Utilities,Oil & Gas Production
CQP,Cheniere Energy Partners LP Common Units,$48.96,0.44,0.907%,23698775782.00,United States,2007,102000,Utilities,Oil/Gas Transmission
CTRI,Centuri Holdings Inc. Common Stock,$17.19,0.32,1.897%,1521616186.00,,2024,225052,Utilities,Oil & Gas Production
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,$25.45,0.53,2.127%,402986982.00,Cayman Islands,,66888,Utilities,Water Supply
CWEN,Clearway Energy Inc. Class C Common Stock,$28.41,0.08,0.282%,3323970000.00,United States,2015,733136,Utilities,Electric Utilities: Central
CWST,Casella Waste Systems Inc. Class A Common Stock,$106.41,1.66,1.585%,6186027980.00,United States,1997,160099,Utilities,Environmental Services
CWT,California Water Service Group Common Stock,$53.35,0.06,0.113%,3138319992.00,United States,,172168,Utilities,Water Supply
D,Dominion Energy Inc. Common Stock,$57.18,-0.05,-0.087%,47970497655.00,United States,,3121778,Utilities,Electric Utilities: Central
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,$21.10,0.14,0.668%,4368123688.00,United States,2020,18911,Utilities,Electric Utilities: Central
