Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A109080,옵티시스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,유선 통신장비 제조업,유선 통신장비 제조업
A111870,KH 미래물산,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,영상 및 음향기기 제조업,영상 및 음향기기 제조업
A088280,쏘닉스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",기타 반도체소자 제조업
A276040,스코넥,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업
A435620,하나금융25호스팩,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,기타 금융 지원 서비스업,그 외 기타 금융 지원 서비스업
A017000,신원종합개발,건설업,종합 건설업,건물 건설업,주거용 건물 건설업,아파트 건설업
A033250,체시스,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
A012280,영화금속,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 엔진용 신품 부품 제조업,자동차 엔진용 신품 부품 제조업
A228340,동양파일,제조업,비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업","콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
A006570,대림통상,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,그 외 기타 금속가공제품 제조업,금속 위생용품 제조업
A189330,씨이랩,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A007770,한일화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 화학물질 제조업,기초 화학물질 제조업
A318010,팜스빌,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A438700,버넥트,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A002820,SUN&L,제조업,목재 및 나무제품 제조업; 가구 제외,나무제품 제조업,"박판, 합판 및 강화 목제품 제조업","박판, 합판 및 유사 적층판 제조업"
A045340,토탈소프트,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
