Symbol,Company,지배주주지분(천원),매출액(직전4분기)(천원),지배주주순이익(직전4분기)(천원),총자본(천원),매출액(직전4분기)(천원),당기순이익(직전4분기)(천원)
A000240,한국앤컴퍼니,"4,105,859,345","1,208,918,361","268,933,372","2,625,530,297","894,963,958","15,931,506"
A214450,파마리서치,"440,820,401","280,285,086","76,091,929","443,711,897","253,460,315","76,790,177"
A298020,효성티앤씨,"1,306,749,441","7,545,391,762","106,897,575","881,977,794","4,464,825,854","119,163,956"
A009240,한샘,"392,455,509","1,983,591,098","946,617","373,820,089","1,509,596,920","-728,652"
A000080,하이트진로,"1,056,325,501","2,537,856,264","39,905,554","1,053,498,188","2,250,960,380","29,073,499"
A067160,SOOP,"298,416,409","369,845,662","82,529,773","299,801,939","344,744,080","86,793,090"
A204270,제이앤티씨,"394,530,338","393,203,405","47,119,974","287,428,485","147,663,382","68,517,200"
A033100,제룡전기,,,,"138,520,042","218,519,083","70,582,427"
A950160,코오롱티슈진,,,,"116,359,022","4,409,627","-17,109,784"
A064760,티씨케이,,,,"459,852,829","222,013,369","59,881,414"
A185750,종근당,"825,479,329","1,665,725,582","202,242,724","817,074,972","1,642,956,578","199,066,755"
A031980,피에스케이홀딩스,"349,842,585","117,897,850","52,930,821","241,628,623","101,941,084","27,129,048"
A161890,한국콜마,"720,237,154","2,242,804,504","5,698,140","640,669,126","902,796,834","24,709,640"
A069620,대웅제약,"792,100,064","1,388,699,360","114,474,240","831,005,190","1,226,234,466","101,857,230"
A294870,HDC현대산업개발,"2,996,659,021","4,071,311,494","162,990,214","3,072,616,642","4,036,748,440","161,245,427"
A139130,DGB금융지주,"5,869,392,885","4,124,072,341","331,555,556","3,259,783,985","2,072,037","172,472,436"
A112040,위메이드,"198,976,550","672,649,238","-225,789,406","360,373,268","382,495,384","-106,759,772"
A225570,넥슨게임즈,"267,580,186","193,743,330","-862,435","266,838,534","192,029,790","-853,385"
A018290,브이티,"128,346,674","349,415,331","42,329,623","152,145,537","209,699,037","36,442,493"
A298380,에이비엘바이오,"63,807,832","33,102,947","-38,952,386","64,365,388","31,748,824","-39,101,531"
A328130,루닛,"225,238,015","19,249,471","-46,023,642","228,276,735","19,249,471","-45,196,885"
A003690,코리안리,"3,167,161,632","5,229,304,246","227,841,821","3,217,641,395","5,125,327,945","224,648,619"
A067630,HLB생명과학,"432,134,156","90,718,614","125,454,791","391,292,099","19,838,711","80,189,937"
A232140,와이씨,"320,664,982","221,293,540","10,026,037","278,754,158","181,669,019","10,280,050"
A004490,세방전지,"1,340,316,816","1,773,521,600","143,096,028","1,320,394,082","1,417,961,676","118,881,333"
A336260,두산퓨얼셀,"511,028,724",,,"512,818,084","242,684,269","-10,223,996"
A121600,나노신소재,"239,064,542","87,869,685","13,439,174","238,013,847","79,891,816","14,618,376"
A375500,DL이앤씨,"4,736,074,943","8,031,532,325","123,934,409","4,000,915,846","5,076,495,109","76,730,897"
A214370,케어젠,"217,021,574","74,987,156","35,304,864","217,021,574","74,987,156","35,304,864"
A014820,동원시스템즈,"773,775,071","1,258,343,793","66,787,104","730,116,317","1,145,650,851","54,133,177"
A036830,솔브레인홀딩스,"1,270,857,207","636,458,054","91,861,607","1,004,884,812","36,574,917","-740,713"
A137400,피엔티,"493,391,476","645,764,081","86,861,541","473,783,039","607,883,098","77,954,163"
A310210,보로노이,"78,380,007",0,"-35,040,209","79,053,170",0,"-34,101,984"
A086900,메디톡스,"489,731,144","233,034,703","2,725,584","487,255,023","220,332,511","13,868,173"
A103590,일진전기,"469,259,202","1,287,337,726","36,136,452","464,872,489","1,273,777,023","36,378,791"
A108320,LX세미콘,"987,308,140","1,838,301,399","105,582,830","975,240,995","1,838,301,399","99,630,919"
A005300,롯데칠성,"1,451,928,797","3,481,776,245","153,592,485","1,426,276,745","2,772,717,430","95,705,922"
A003090,대웅,"986,250,000","1,821,843,715","135,339,583","512,154,329","69,154,828","22,003,270"
A004000,롯데정밀화학,"2,415,961,346","1,643,087,845","80,118,764","2,182,708,121","1,642,465,251","130,579,586"
A082640,동양생명,"2,531,588,349","1,123,180,203","203,745,772","2,585,231,081","1,123,180,203","227,735,319"
A006040,동원산업,"2,754,922,772","8,926,213,793","231,603,040","2,190,499,373","1,138,015,850","108,783,118"
A336370,솔루스첨단소재,"742,304,843","437,954,701","200,140,420","666,036,116","115,471,614","243,732,433"
A082740,한화엔진,,,,"328,815,752","948,402,662","8,782,848"
A001120,LX인터내셔널,"2,344,008,266","14,590,527,019","71,984,730","2,391,938,485","3,318,511,110","75,019,053"
A004800,효성,"2,436,761,450","3,473,124,289","9,945,940","2,468,702,729","546,764,654","13,047,196"
A253450,스튜디오드래곤,"715,819,865","734,068,437","31,885,831","707,869,569","693,654,708","50,774,091"
A051980,중앙첨단소재,"51,120,348","25,374,016","-51,134,468","51,419,332","25,368,016","-51,597,348"
A003620,KG모빌리티,"1,169,541,271","3,653,137,745","46,281,755","1,174,255,590","3,677,147,044","57,386,165"
A457190,이수스페셜티케미컬,,,,"94,770,133","169,708,667","-6,442,234"
A001720,신영증권,,,,,,
A095340,ISC,"485,017,780","128,916,047","17,950,233","492,035,830","120,827,587","20,194,513"
A067310,하나마이크론,"294,338,034","999,041,735","-35,950,168","355,693,283","627,950,312","-58,426,432"
A000210,DL,"3,924,657,559","5,134,556,683","-82,137,950","3,088,542,621","40,275,445","12,845,764"
A352480,씨앤씨인터내셔널,"184,104,873","246,300,161","36,152,276","181,717,729","231,910,883","34,817,992"
A195940,HK이노엔,,,,"1,206,653,568","856,631,340","54,741,388"
A089860,롯데렌탈,"1,341,250,001","2,687,917,571","95,509,151","1,141,787,194","2,440,320,882","87,203,509"
A140860,파크시스템스,"143,430,753","142,982,544","24,657,225","143,913,167","115,036,361","26,366,065"
A002710,TCC스틸,"230,264,112","613,818,374","10,157,361","194,816,876","463,225,080","4,445,217"
A137310,에스디바이오센서,"2,881,251,222","649,665,308","-256,179,485","2,802,349,761","254,750,032","-133,719,481"
A034230,파라다이스,"1,425,195,671","1,067,450,781","81,507,171","1,089,018,810","461,814,811","40,426,055"
A009970,영원무역홀딩스,"2,407,216,920","4,235,869,648","347,127,904","673,087,922","106,418,723","86,818,415"
A069960,현대백화점,"4,514,930,360","4,061,451,899","-68,035,785","4,132,293,957","1,762,915,730","-44,083,921"
A267270,HD현대건설기계,"1,604,901,792","3,785,804,696","113,494,423","1,375,825,293","2,451,150,224","87,615,973"
A281740,레이크머티리얼즈,"114,022,141","118,389,020","20,281,001","113,984,411","118,286,346","20,279,572"
A353200,대덕전자,"855,493,685","906,764,060","16,128,410","855,073,916","906,764,060","15,285,381"
A145720,덴티움,"481,322,005","407,113,252","94,921,377","404,954,235","333,898,061","77,362,246"
A140410,메지온,"57,747,355","26,090,154","-10,157,673","57,296,538","26,090,154","-12,744,484"
A096530,씨젠,"1,022,329,897","367,271,685","-3,461,431","923,546,366","264,328,180","-4,934,809"
