symbol,company,outstandingshares,treasuryshares,shares,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni,eps,bps,sps
A041510,에스엠,23589522,722279,22867243,690171729,977223570,78007654,508524860,627469415,62750140,2744.106056,22238.13601,27439.66183
A103140,풍산,28024278,710000,27314278,1983041614,4043904550,139100914,1983041614,3044476537,138966012,5087.66924,72600.91641,111460.9926
A047040,대우건설,415622638,4736918,410885720,4096407799,11527020575,503012331,3170220477,10410321887,206277465,502.0312339,7715.577161,25336.29518
A051600,한전KPS,45000000,0,45000000,1225173760,1525587539,160221304,1217937312,1504671438,157833023,3507.400511,27065.2736,33437.14307
A035760,CJ ENM,21929154,1199535,20729619,3255061927,4573517853,-262333949,3297584237,2653238903,58021068,2798.945219,159075.9694,127992.6516
A192820,코스맥스,11349509,3847,11345662,387621729,1901035770,69671924,338739305,1129550081,24470917,2156.852284,29856.28384,99557.88221
A087010,펩트론,20657350,73961,20583389,0,0,0,32096367,2655759,-15940895,-774.4543428,1559.333451,129.0243798
A111770,영원무역,44311468,699150,43612318,3294134033,3473537253,466382609,1762212190,1903352650,254265367,5830.127328,40406.29507,43642.54727
A178320,서진시스템,55702423,469651,55232772,543813664,915353406,1436160,410280865,424587509,25462828,461.0094167,7428.214267,7687.238819
A280360,롯데웰푸드,9434574,593307,8841267,2076784574,4057849131,90979613,2025377392,3287236234,73330611,8294.129224,229082.2562,371806.0131
A018670,SK가스,9230244,255198,8975046,2549164186,6568314334,180778470,2357324001,4734110882,275445832,30690.1861,262653.1386,527474.8321
A039200,오스코텍,37993965,0,37993965,93010026,4864226,-24445483,114199422,4289698,-14262196,-375.3805637,3005.725304,112.9047205
A139480,이마트,27875819,1087466,26788353,11640607764,29543571606,-72765235,10708887179,15217956913,263261971,9827.478793,399759.0736,568081.0953
A293490,카카오게임즈,82645592,854009,81791583,1432724323,1022202057,-230037189,1023426221,689755805,-455554055,-5569.693583,12512.61051,8433.090297
A073240,금호타이어,287260287,0,287260287,1381890034,4087000898,229390409,794247819,3129537356,274579219,955.8551301,2764.906445,10894.43093
A010060,OCI홀딩스,19563983,335919,19228064,3880452648,2794895674,675355471,2402504564,540108776,683070545,35524.66567,124947.814,28089.60777
A042670,HD현대인프라코어,199603453,6184835,193418618,1836065585,4529108684,185803942,1853252218,4060108698,322035228,1664.964993,9581.560644,20991.30239
A004170,신세계,9845181,634750,9210431,4341276353,6398409085,221635218,4186395974,1950561957,206573799,22428.24456,454527.6952,211777.4898
A298050,효성첨단소재,4479948,11926,4468022,685412465,3204684329,22707680,815833685,634672293,86102176,19270.75919,182593.9275,142047.7099
A006360,GS건설,85581490,692595,84888895,4332254986,12994917142,-484730716,4278711992,9309558606,-516448704,-6083.819374,50403.67167,109667.5673
A036930,주성엔지니어링,48249212,980891,47268321,528441521,272611832,39671767,527454670,272571388,39878037,843.6524961,11158.73504,5766.470698
A065350,신성델타테크,27483948,300000,27183948,207897386,825040620,9778461,223390723,155399242,11984932,440.8826856,8217.743905,5716.58105
A011210,현대위아,27195083,549320,26645763,3432364000,8636878000,111542000,3192863000,7289711000,93569000,3511.590192,119826.2928,273578.6174
A006280,녹십자,11686538,273360,11413178,1261892442,1633971650,-29491443,1227204415,1211404981,10461202,916.5897527,107525.2147,106140.8997
A000240,한국앤컴퍼니,94935240,217096,94718144,4105859345,1208918361,268933372,2625530297,894963958,15931506,168.1990939,27719.40186,9448.70666
A214450,파마리서치,10413023,119952,10293071,440820401,280285086,76091929,443711897,253460315,76790177,7460.375723,43107.82438,24624.36284
A298020,효성티앤씨,4327682,11992,4315690,1306749441,7545391762,106897575,881977794,4464825854,119163956,27611.79695,204365.4187,1034556.665
A009240,한샘,23533928,6933606,16600322,392455509,1983591098,946617,373820089,1509596920,-728652,-43.89384736,22518.84566,90937.80952
A000080,하이트진로,70133611,1484184,68649427,1056325501,2537856264,39905554,1053498188,2250960380,29073499,423.5067978,15346.05945,32789.20857
A067160,SOOP,11494767,838407,10656360,298416409,369845662,82529773,299801939,344744080,86793090,8144.722025,28133.61589,32351.01667
A204270,제이앤티씨,57848466,779845,57068621,394530338,393203405,47119974,287428485,147663382,68517200,1200.610752,5036.541622,2587.470652
A033100,제룡전기,16062409,0,16062409,0,0,0,138520042,218519083,70582427,4394.261596,8623.864702,13604.37796
A950160,코오롱티슈진,78553125,0,78553125,0,0,0,116359022,4409627,-17109784,-217.8116275,1481.278078,56.1356025
A064760,티씨케이,11675000,0,11675000,0,0,0,459852829,222013369,59881414,5129.029036,39387.82261,19016.13439
A185750,종근당,13174420,530586,12643834,825479329,1665725582,202242724,817074972,1642956578,199066755,15744.17657,64622.40583,129941.3278
A031980,피에스케이홀딩스,21562395,0,21562395,349842585,117897850,52930821,241628623,101941084,27129048,1258.164875,11206.01969,4727.725468
A161890,한국콜마,23605077,0,23605077,720237154,2242804504,5698140,640669126,902796834,24709640,1046.79345,27141.15807,38245.87541
A069620,대웅제약,11586575,80305,11506270,792100064,1388699360,114474240,831005190,1226234466,101857230,8852.323994,72221.94421,106570.9796
A294870,HDC현대산업개발,65907330,1738000,64169330,2996659021,4071311494,162990214,3072616642,4036748440,161245427,2512.811447,47882.94723,62907.75422
A139130,DGB금융지주,169145833,2753001,166392832,5869392885,4124072341,331555556,3259783985,2072037,172472436,1036.537656,19590.8919,12.45268186
A112040,위메이드,33948483,341389,33607094,198976550,672649238,-225789406,360373268,382495384,-106759772,-3176.703466,10723.1309,11381.38823
