symbol,company,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni
A195940,HK이노엔,0 ,0 ,0 ,1206653568 ,856631340 ,54741388 
A089860,롯데렌탈,1341250001 ,2687917571 ,95509151 ,1141787194 ,2440320882 ,87203509 
A140860,파크시스템스,143430753 ,142982544 ,24657225 ,143913167 ,115036361 ,26366065 
A002710,TCC스틸,230264112 ,613818374 ,10157361 ,194816876 ,463225080 ,4445217 
A137310,에스디바이오센서,2881251222 ,649665308 ,-256179485 ,2802349761 ,254750032 ,-133719481 
A034230,파라다이스,1425195671 ,1067450781 ,81507171 ,1089018810 ,461814811 ,40426055 
A009970,영원무역홀딩스,2407216920 ,4235869648 ,347127904 ,673087922 ,106418723 ,86818415 
A069960,현대백화점,4514930360 ,4061451899 ,-68035785 ,4132293957 ,1762915730 ,-44083921 
A267270,HD현대건설기계,1604901792 ,3785804696 ,113494423 ,1375825293 ,2451150224 ,87615973 
A281740,레이크머티리얼즈,114022141 ,118389020 ,20281001 ,113984411 ,118286346 ,20279572 
A353200,대덕전자,855493685 ,906764060 ,16128410 ,855073916 ,906764060 ,15285381 
A145720,덴티움,481322005 ,407113252 ,94921377 ,404954235 ,333898061 ,77362246 
A140410,메지온,57747355 ,26090154 ,-10157673 ,57296538 ,26090154 ,-12744484 
A096530,씨젠,1022329897 ,367271685 ,-3461431 ,923546366 ,264328180 ,-4934809 
A084370,유진테크,346807447 ,267396580 ,20141187 ,417644180 ,197962506 ,21492038 
A166090,하나머티리얼즈,399868650 ,222854493 ,25893705 ,399868650 ,221852805 ,25893705 
A120110,코오롱인더,2860847274 ,5063406371 ,35475688 ,2445597294 ,3561174133 ,17499761 
A001740,SK네트웍스,2122883000 ,9221009000 ,3666000 ,1883439000 ,6168872000 ,33978000 
A222800,심텍,453459424 ,1131821812 ,-107898130 ,431300362 ,880981587 ,-100293893 
A192080,더블유게임즈,927871877 ,597517096 ,156853354 ,689741125 ,182689583 ,62349141 
A248070,솔루엠,423818016 ,1756340895 ,86693447 ,264463828 ,851576864 ,12367326 
A002840,미원상사,375979258 ,417898641 ,56356249 ,372517578 ,408931061 ,70630269 
A229640,LS에코에너지,149466040 ,734531633 ,10949886 ,271616295 ,5124911 ,-4144124 
A287410,제이시스메디칼,101822260 ,157880810 ,25045195 ,96625239 ,149736411 ,21778947 
A300720,한일시멘트,1578915892 ,1824031073 ,201472004 ,1470222198 ,1269348943 ,197799482 
A006110,삼아알미늄,253027495 ,260149460 ,2207571 ,253082790 ,241108232 ,2262866 
A001800,오리온홀딩스,2218716031 ,3088508099 ,106494754 ,1813847240 ,38504376 ,19823075 
A079160,CJ CGV,529629678 ,1546601464 ,-97769644 ,749203373 ,777027317 ,-127366961 
A319660,피에스케이,408846829 ,345923490 ,62128306 ,370090422 ,300280136 ,45602371 
A025320,시노펙스,143700891 ,255241735 ,17238134 ,143775861 ,121516239 ,17978060 
A005420,코스모화학,288086987 ,724524905 ,-27997380 ,245857109 ,154352111 ,-34875858 
A056190,에스에프에이,1060228906 ,2077351813 ,62542068 ,1003438147 ,1109289645 ,34667624 
A085620,미래에셋생명,2629599809 ,1513146227 ,58252121 ,2627669412 ,1513146227 ,63699582 
A178920,PI첨단소재,0 ,0 ,0 ,316404676 ,226808561 ,7721190 
A393890,더블유씨피,1011498278 ,352326775 ,35000216 ,995120717 ,352326775 ,40290892 
A317330,덕산테코피아,203373750 ,100281826 ,-11744174 ,221878409 ,100060751 ,1882200 
A213420,덕산네오룩스,361882497 ,187731652 ,40543386 ,361889254 ,187731652 ,40317698 
A085660,차바이오텍,276316800 ,949921988 ,-27915687 ,253101335 ,50148412 ,-14723094 
A078130,국일제지,135327944 ,73505060 ,-20223187 ,135327944 ,73505060 ,-20223187 
A064550,바이오니아,222535306 ,286422981 ,-10947518 ,149963804 ,40376054 ,-35166306 
A281820,케이씨텍,0 ,0 ,0 ,460690508 ,315968011 ,40298354 
A090460,비에이치,639518796 ,1576928429 ,76767113 ,374841803 ,296121950 ,6169450 
A001680,대상,1320211284 ,4162382900 ,74307196 ,1330339879 ,3441021376 ,97881800 
A074600,원익QnC,422144867 ,800381082 ,37367731 ,374732165 ,289184749 ,18570724 
A383310,에코프로에이치엔,108455084 ,220954604 ,30394500 ,108607453 ,220776259 ,30505534 
A456040,OCI,1150669211 ,0 ,0 ,1060738472 ,1782126048 ,91893322 
